true_label,predicted_label,count,true_total,rate_in_true_class
sea,plain,37,100,0.37
maple_tree,oak_tree,33,100,0.33
mountain,plain,29,100,0.29
beetle,cockroach,27,100,0.27
house,road,27,100,0.27
willow_tree,oak_tree,26,100,0.26
dinosaur,cockroach,21,100,0.21
pine_tree,oak_tree,21,100,0.21
plain,road,21,100,0.21
sunflower,cockroach,21,100,0.21
chimpanzee,oak_tree,19,100,0.19
shark,aquarium_fish,18,100,0.18
forest,road,17,100,0.17
streetcar,road,17,100,0.17
castle,plain,16,100,0.16
cloud,plate,16,100,0.16
cup,chair,16,100,0.16
palm_tree,oak_tree,16,100,0.16
sea,road,16,100,0.16
train,oak_tree,16,100,0.16
bee,cockroach,15,100,0.15
mushroom,aquarium_fish,15,100,0.15
bridge,road,14,100,0.14
plate,apple,14,100,0.14
train,road,14,100,0.14
wolf,trout,14,100,0.14
castle,oak_tree,13,100,0.13
chair,cockroach,13,100,0.13
cockroach,lawn_mower,13,100,0.13
elephant,oak_tree,13,100,0.13
hamster,plate,13,100,0.13
mountain,road,13,100,0.13
orchid,plate,13,100,0.13
road,plain,13,100,0.13
whale,cockroach,13,100,0.13
baby,trout,12,100,0.12
bear,lawn_mower,12,100,0.12
bear,cockroach,11,100,0.11
bear,oak_tree,11,100,0.11
cloud,plain,11,100,0.11
flatfish,oak_tree,11,100,0.11
lobster,cockroach,11,100,0.11
pine_tree,tank,11,100,0.11
plate,clock,11,100,0.11
porcupine,skunk,11,100,0.11
snake,trout,11,100,0.11
spider,cockroach,11,100,0.11
telephone,chair,11,100,0.11
television,oak_tree,11,100,0.11
worm,chair,11,100,0.11
