true_label,predicted_label,count,true_total,rate_in_true_class
oak_tree,maple_tree,29,100,0.29
woman,girl,18,100,0.18
boy,girl,17,100,0.17
willow_tree,maple_tree,15,100,0.15
crab,lobster,14,100,0.14
pine_tree,oak_tree,13,100,0.13
seal,otter,13,100,0.13
tulip,poppy,13,100,0.13
man,boy,12,100,0.12
maple_tree,oak_tree,12,100,0.12
otter,seal,12,100,0.12
poppy,tulip,12,100,0.12
bed,couch,11,100,0.11
boy,baby,11,100,0.11
boy,man,11,100,0.11
dolphin,whale,11,100,0.11
girl,woman,11,100,0.11
rose,tulip,11,100,0.11
baby,boy,10,100,0.1
man,woman,10,100,0.1
mouse,shrew,10,100,0.1
plate,bowl,10,100,0.1
shark,dolphin,10,100,0.1
streetcar,bus,10,100,0.1
tulip,rose,10,100,0.1
baby,girl,9,100,0.09
bear,beaver,9,100,0.09
boy,woman,9,100,0.09
girl,baby,9,100,0.09
girl,boy,9,100,0.09
woman,man,9,100,0.09
worm,snake,9,100,0.09
bowl,cup,8,100,0.08
bus,streetcar,8,100,0.08
dolphin,shark,8,100,0.08
girl,man,8,100,0.08
lizard,snake,8,100,0.08
shark,ray,8,100,0.08
shrew,mouse,8,100,0.08
snake,worm,8,100,0.08
streetcar,train,8,100,0.08
bicycle,motorcycle,7,100,0.07
caterpillar,lizard,7,100,0.07
lizard,crocodile,7,100,0.07
orchid,tulip,7,100,0.07
pine_tree,willow_tree,7,100,0.07
plate,clock,7,100,0.07
porcupine,beaver,7,100,0.07
possum,mouse,7,100,0.07
sea,cloud,7,100,0.07
