true_label,predicted_label,count,true_total,rate_in_true_class
man,boy,18,100,0.18
maple_tree,oak_tree,18,100,0.18
oak_tree,maple_tree,18,100,0.18
bus,streetcar,17,100,0.17
baby,boy,15,100,0.15
tulip,poppy,15,100,0.15
woman,girl,15,100,0.15
girl,boy,14,100,0.14
girl,woman,14,100,0.14
mouse,shrew,14,100,0.14
pine_tree,oak_tree,14,100,0.14
seal,otter,14,100,0.14
willow_tree,oak_tree,14,100,0.14
worm,snake,12,100,0.12
bowl,plate,11,100,0.11
boy,baby,11,100,0.11
otter,seal,11,100,0.11
plate,bowl,11,100,0.11
rose,tulip,11,100,0.11
whale,shark,11,100,0.11
bed,couch,10,100,0.1
boy,girl,10,100,0.1
dolphin,shark,10,100,0.1
elephant,cattle,10,100,0.1
willow_tree,maple_tree,10,100,0.1
man,woman,9,100,0.09
poppy,tulip,9,100,0.09
snake,worm,9,100,0.09
boy,man,8,100,0.08
couch,bed,8,100,0.08
crab,lobster,8,100,0.08
lizard,caterpillar,8,100,0.08
maple_tree,willow_tree,8,100,0.08
shrew,mouse,8,100,0.08
train,streetcar,8,100,0.08
willow_tree,forest,8,100,0.08
woman,man,8,100,0.08
bear,beaver,7,100,0.07
bee,beetle,7,100,0.07
bicycle,motorcycle,7,100,0.07
bowl,cup,7,100,0.07
dolphin,whale,7,100,0.07
forest,willow_tree,7,100,0.07
girl,baby,7,100,0.07
hamster,mouse,7,100,0.07
shark,dolphin,7,100,0.07
shark,ray,7,100,0.07
streetcar,bus,7,100,0.07
sweet_pepper,orange,7,100,0.07
tulip,rose,7,100,0.07
